Order ID: ORD012543 | Customer ID: CUST9886 | Platform: Swiggy Instamart | OrderDateTime: 36:29.5 | Delivery time: 27 | Product Category: Beverages | Order value: 362 | Customer Feedback: Very satisfied with the service. | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD018016 | Customer ID: CUST4810 | Platform: Swiggy Instamart | OrderDateTime: 33:29.5 | Delivery time: 29 | Product Category: Fruits & Vegetables | Order value: 326 | Customer Feedback: Packaging could be better. | Service Rating: 3 | Delivery Delay: No | Refund Requested: No
Order ID: ORD075139 | Customer ID: CUST4749 | Platform: Swiggy Instamart | OrderDateTime: 25:29.5 | Delivery time: 37 | Product Category: Personal Care | Order value: 603 | Customer Feedback: Wrong item delivered. | Service Rating: 1 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD063642 | Customer ID: CUST1042 | Platform: Swiggy Instamart | OrderDateTime: 56:29.5 | Delivery time: 28 | Product Category: Dairy | Order value: 113 | Customer Feedback: Wrong item delivered. | Service Rating: 1 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD041145 | Customer ID: CUST3214 | Platform: Swiggy Instamart | OrderDateTime: 49:29.5 | Delivery time: 25 | Product Category: Personal Care | Order value: 741 | Customer Feedback: Very satisfied with the service. | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD084736 | Customer ID: CUST8761 | Platform: Swiggy Instamart | OrderDateTime: 30:29.5 | Delivery time: 17 | Product Category: Dairy | Order value: 543 | Customer Feedback: Good quality products. | Service Rating: 4 | Delivery Delay: No | Refund Requested: No
Order ID: ORD076144 | Customer ID: CUST9372 | Platform: Swiggy Instamart | OrderDateTime: 59:29.5 | Delivery time: 35 | Product Category: Beverages | Order value: 659 | Customer Feedback: Packaging could be better. | Service Rating: 3 | Delivery Delay: No | Refund Requested: No
Order ID: ORD090750 | Customer ID: CUST2711 | Platform: Swiggy Instamart | OrderDateTime: 52:29.5 | Delivery time: 27 | Product Category: Snacks | Order value: 295 | Customer Feedback: Very late delivery, not happy. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD050102 | Customer ID: CUST5308 | Platform: Swiggy Instamart | OrderDateTime: 49:29.5 | Delivery time: 48 | Product Category: Fruits & Vegetables | Order value: 78 | Customer Feedback: Excellent experience! | Service Rating: 5 | Delivery Delay: Yes | Refund Requested: No
Order ID: ORD060699 | Customer ID: CUST4102 | Platform: Swiggy Instamart | OrderDateTime: 00:29.5 | Delivery time: 39 | Product Category: Personal Care | Order value: 986 | Customer Feedback: Excellent experience! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD044323 | Customer ID: CUST5916 | Platform: Swiggy Instamart | OrderDateTime: 37:29.5 | Delivery time: 24 | Product Category: Snacks | Order value: 203 | Customer Feedback: Items missing from order. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD060473 | Customer ID: CUST4791 | Platform: Swiggy Instamart | OrderDateTime: 13:29.5 | Delivery time: 30 | Product Category: Snacks | Order value: 241 | Customer Feedback: Very late delivery, not happy. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD071354 | Customer ID: CUST6595 | Platform: Swiggy Instamart | OrderDateTime: 20:29.5 | Delivery time: 28 | Product Category: Dairy | Order value: 741 | Customer Feedback: Easy to order, loved it! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD057516 | Customer ID: CUST5805 | Platform: Swiggy Instamart | OrderDateTime: 40:29.5 | Delivery time: 41 | Product Category: Beverages | Order value: 761 | Customer Feedback: Horrible experience, never ordering again. | Service Rating: 1 | Delivery Delay: Yes | Refund Requested: Yes
Order ID: ORD035297 | Customer ID: CUST2075 | Platform: Swiggy Instamart | OrderDateTime: 05:29.5 | Delivery time: 14 | Product Category: Dairy | Order value: 256 | Customer Feedback: Easy to order, loved it! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD008768 | Customer ID: CUST1685 | Platform: Swiggy Instamart | OrderDateTime: 07:29.5 | Delivery time: 36 | Product Category: Beverages | Order value: 503 | Customer Feedback: Horrible experience, never ordering again. | Service Rating: 1 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD020738 | Customer ID: CUST6623 | Platform: Swiggy Instamart | OrderDateTime: 57:29.5 | Delivery time: 32 | Product Category: Snacks | Order value: 157 | Customer Feedback: Good quality products. | Service Rating: 4 | Delivery Delay: No | Refund Requested: No
Order ID: ORD091805 | Customer ID: CUST5823 | Platform: Swiggy Instamart | OrderDateTime: 29:29.5 | Delivery time: 34 | Product Category: Snacks | Order value: 415 | Customer Feedback: Very late delivery, not happy. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD037779 | Customer ID: CUST3216 | Platform: Swiggy Instamart | OrderDateTime: 41:29.5 | Delivery time: 38 | Product Category: Beverages | Order value: 619 | Customer Feedback: Horrible experience, never ordering again. | Service Rating: 1 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD086596 | Customer ID: CUST5115 | Platform: Swiggy Instamart | OrderDateTime: 27:29.5 | Delivery time: 38 | Product Category: Snacks | Order value: 169 | Customer Feedback: Excellent experience! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD046410 | Customer ID: CUST5091 | Platform: Swiggy Instamart | OrderDateTime: 14:29.5 | Delivery time: 34 | Product Category: Snacks | Order value: 451 | Customer Feedback: Easy to order, loved it! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD069292 | Customer ID: CUST9077 | Platform: Swiggy Instamart | OrderDateTime: 56:29.5 | Delivery time: 34 | Product Category: Personal Care | Order value: 1610 | Customer Feedback: Quick and reliable! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD009289 | Customer ID: CUST4251 | Platform: Swiggy Instamart | OrderDateTime: 17:29.5 | Delivery time: 35 | Product Category: Personal Care | Order value: 313 | Customer Feedback: Items missing from order. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD071384 | Customer ID: CUST6770 | Platform: Swiggy Instamart | OrderDateTime: 55:29.5 | Delivery time: 35 | Product Category: Snacks | Order value: 490 | Customer Feedback: Quick and reliable! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD001800 | Customer ID: CUST6123 | Platform: Swiggy Instamart | OrderDateTime: 43:29.5 | Delivery time: 31 | Product Category: Grocery | Order value: 989 | Customer Feedback: Items missing from order. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD059247 | Customer ID: CUST5891 | Platform: Swiggy Instamart | OrderDateTime: 37:29.5 | Delivery time: 7 | Product Category: Dairy | Order value: 501 | Customer Feedback: Excellent experience! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD023256 | Customer ID: CUST8868 | Platform: Swiggy Instamart | OrderDateTime: 49:29.5 | Delivery time: 26 | Product Category: Personal Care | Order value: 1528 | Customer Feedback: Quick and reliable! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD008608 | Customer ID: CUST3890 | Platform: Swiggy Instamart | OrderDateTime: 17:29.5 | Delivery time: 20 | Product Category: Dairy | Order value: 420 | Customer Feedback: Very satisfied with the service. | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD062048 | Customer ID: CUST3494 | Platform: Swiggy Instamart | OrderDateTime: 02:29.5 | Delivery time: 26 | Product Category: Dairy | Order value: 497 | Customer Feedback: Very late delivery, not happy. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD010467 | Customer ID: CUST7267 | Platform: Swiggy Instamart | OrderDateTime: 14:29.5 | Delivery time: 40 | Product Category: Dairy | Order value: 472 | Customer Feedback: Delivery person was rude. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD063139 | Customer ID: CUST7024 | Platform: Swiggy Instamart | OrderDateTime: 23:29.5 | Delivery time: 37 | Product Category: Snacks | Order value: 66 | Customer Feedback: Excellent experience! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD089430 | Customer ID: CUST4363 | Platform: Swiggy Instamart | OrderDateTime: 16:29.5 | Delivery time: 58 | Product Category: Beverages | Order value: 421 | Customer Feedback: Very satisfied with the service. | Service Rating: 5 | Delivery Delay: Yes | Refund Requested: No
Order ID: ORD087826 | Customer ID: CUST8971 | Platform: Swiggy Instamart | OrderDateTime: 11:29.5 | Delivery time: 37 | Product Category: Dairy | Order value: 551 | Customer Feedback: Very late delivery, not happy. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD021652 | Customer ID: CUST5698 | Platform: Swiggy Instamart | OrderDateTime: 45:29.5 | Delivery time: 44 | Product Category: Snacks | Order value: 329 | Customer Feedback: Wrong item delivered. | Service Rating: 1 | Delivery Delay: Yes | Refund Requested: Yes
Order ID: ORD029606 | Customer ID: CUST1912 | Platform: Swiggy Instamart | OrderDateTime: 52:29.5 | Delivery time: 66 | Product Category: Personal Care | Order value: 218 | Customer Feedback: Excellent experience! | Service Rating: 5 | Delivery Delay: Yes | Refund Requested: No
Order ID: ORD053376 | Customer ID: CUST3307 | Platform: Swiggy Instamart | OrderDateTime: 28:29.5 | Delivery time: 33 | Product Category: Dairy | Order value: 785 | Customer Feedback: Items missing from order. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD015708 | Customer ID: CUST3019 | Platform: Swiggy Instamart | OrderDateTime: 33:29.5 | Delivery time: 23 | Product Category: Beverages | Order value: 355 | Customer Feedback: Delivery person was rude. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD070606 | Customer ID: CUST5203 | Platform: Swiggy Instamart | OrderDateTime: 49:29.5 | Delivery time: 29 | Product Category: Snacks | Order value: 199 | Customer Feedback: Fast delivery, great service! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD002662 | Customer ID: CUST2354 | Platform: Swiggy Instamart | OrderDateTime: 50:29.5 | Delivery time: 31 | Product Category: Fruits & Vegetables | Order value: 399 | Customer Feedback: Items missing from order. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD097982 | Customer ID: CUST1613 | Platform: Swiggy Instamart | OrderDateTime: 18:29.5 | Delivery time: 20 | Product Category: Snacks | Order value: 199 | Customer Feedback: Horrible experience, never ordering again. | Service Rating: 1 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD097716 | Customer ID: CUST6799 | Platform: Swiggy Instamart | OrderDateTime: 35:29.5 | Delivery time: 26 | Product Category: Personal Care | Order value: 1086 | Customer Feedback: Not fresh, disappointed. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD097723 | Customer ID: CUST2750 | Platform: Swiggy Instamart | OrderDateTime: 24:29.5 | Delivery time: 32 | Product Category: Personal Care | Order value: 238 | Customer Feedback: Not fresh, disappointed. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD036022 | Customer ID: CUST6155 | Platform: Swiggy Instamart | OrderDateTime: 26:29.5 | Delivery time: 25 | Product Category: Fruits & Vegetables | Order value: 634 | Customer Feedback: Horrible experience, never ordering again. | Service Rating: 1 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD076902 | Customer ID: CUST9137 | Platform: Swiggy Instamart | OrderDateTime: 15:29.5 | Delivery time: 23 | Product Category: Dairy | Order value: 503 | Customer Feedback: Quick and reliable! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD055600 | Customer ID: CUST7259 | Platform: Swiggy Instamart | OrderDateTime: 17:29.5 | Delivery time: 23 | Product Category: Personal Care | Order value: 1882 | Customer Feedback: Not fresh, disappointed. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD036527 | Customer ID: CUST6530 | Platform: Swiggy Instamart | OrderDateTime: 38:29.5 | Delivery time: 29 | Product Category: Dairy | Order value: 122 | Customer Feedback: Easy to order, loved it! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD071901 | Customer ID: CUST4719 | Platform: Swiggy Instamart | OrderDateTime: 19:29.5 | Delivery time: 26 | Product Category: Beverages | Order value: 322 | Customer Feedback: Easy to order, loved it! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD036405 | Customer ID: CUST2915 | Platform: Swiggy Instamart | OrderDateTime: 34:29.5 | Delivery time: 42 | Product Category: Personal Care | Order value: 1920 | Customer Feedback: Not fresh, disappointed. | Service Rating: 2 | Delivery Delay: Yes | Refund Requested: Yes
Order ID: ORD004048 | Customer ID: CUST2572 | Platform: Swiggy Instamart | OrderDateTime: 02:29.5 | Delivery time: 22 | Product Category: Beverages | Order value: 762 | Customer Feedback: Easy to order, loved it! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD066495 | Customer ID: CUST5398 | Platform: Swiggy Instamart | OrderDateTime: 55:29.5 | Delivery time: 29 | Product Category: Grocery | Order value: 1466 | Customer Feedback: Very satisfied with the service. | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD054639 | Customer ID: CUST5338 | Platform: Swiggy Instamart | OrderDateTime: 04:29.5 | Delivery time: 18 | Product Category: Personal Care | Order value: 1566 | Customer Feedback: Good quality products. | Service Rating: 4 | Delivery Delay: No | Refund Requested: No
Order ID: ORD047113 | Customer ID: CUST6154 | Platform: Swiggy Instamart | OrderDateTime: 32:29.5 | Delivery time: 16 | Product Category: Personal Care | Order value: 1099 | Customer Feedback: Fast delivery, great service! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD077265 | Customer ID: CUST8229 | Platform: Swiggy Instamart | OrderDateTime: 51:29.5 | Delivery time: 49 | Product Category: Grocery | Order value: 615 | Customer Feedback: Quick and reliable! | Service Rating: 5 | Delivery Delay: Yes | Refund Requested: No
Order ID: ORD031924 | Customer ID: CUST7946 | Platform: Swiggy Instamart | OrderDateTime: 48:29.5 | Delivery time: 26 | Product Category: Beverages | Order value: 690 | Customer Feedback: Excellent experience! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD051092 | Customer ID: CUST6543 | Platform: Swiggy Instamart | OrderDateTime: 09:29.5 | Delivery time: 35 | Product Category: Fruits & Vegetables | Order value: 212 | Customer Feedback: Very satisfied with the service. | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD002064 | Customer ID: CUST9998 | Platform: Swiggy Instamart | OrderDateTime: 10:29.5 | Delivery time: 29 | Product Category: Personal Care | Order value: 438 | Customer Feedback: Wrong item delivered. | Service Rating: 1 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD017575 | Customer ID: CUST4455 | Platform: Swiggy Instamart | OrderDateTime: 54:29.5 | Delivery time: 15 | Product Category: Snacks | Order value: 479 | Customer Feedback: Fast delivery, great service! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD078702 | Customer ID: CUST6606 | Platform: Swiggy Instamart | OrderDateTime: 33:29.5 | Delivery time: 34 | Product Category: Dairy | Order value: 126 | Customer Feedback: Wrong item delivered. | Service Rating: 1 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD049687 | Customer ID: CUST8666 | Platform: Swiggy Instamart | OrderDateTime: 52:29.5 | Delivery time: 18 | Product Category: Snacks | Order value: 173 | Customer Feedback: Very late delivery, not happy. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD091985 | Customer ID: CUST8694 | Platform: Swiggy Instamart | OrderDateTime: 25:29.5 | Delivery time: 9 | Product Category: Beverages | Order value: 168 | Customer Feedback: Very satisfied with the service. | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD000619 | Customer ID: CUST3885 | Platform: Swiggy Instamart | OrderDateTime: 28:29.5 | Delivery time: 26 | Product Category: Grocery | Order value: 1384 | Customer Feedback: Very satisfied with the service. | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD088385 | Customer ID: CUST5335 | Platform: Swiggy Instamart | OrderDateTime: 19:29.5 | Delivery time: 35 | Product Category: Beverages | Order value: 528 | Customer Feedback: Excellent experience! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD029604 | Customer ID: CUST6362 | Platform: Swiggy Instamart | OrderDateTime: 55:29.5 | Delivery time: 35 | Product Category: Beverages | Order value: 514 | Customer Feedback: Packaging could be better. | Service Rating: 3 | Delivery Delay: No | Refund Requested: No
Order ID: ORD088181 | Customer ID: CUST8745 | Platform: Swiggy Instamart | OrderDateTime: 59:29.5 | Delivery time: 23 | Product Category: Fruits & Vegetables | Order value: 445 | Customer Feedback: Delivery person was rude. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD027754 | Customer ID: CUST5096 | Platform: Swiggy Instamart | OrderDateTime: 13:29.5 | Delivery time: 16 | Product Category: Grocery | Order value: 1141 | Customer Feedback: Good quality products. | Service Rating: 4 | Delivery Delay: No | Refund Requested: No
Order ID: ORD095666 | Customer ID: CUST2276 | Platform: Swiggy Instamart | OrderDateTime: 06:29.5 | Delivery time: 36 | Product Category: Snacks | Order value: 419 | Customer Feedback: Easy to order, loved it! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD086946 | Customer ID: CUST1033 | Platform: Swiggy Instamart | OrderDateTime: 31:29.5 | Delivery time: 31 | Product Category: Personal Care | Order value: 1187 | Customer Feedback: Items missing from order. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD001747 | Customer ID: CUST3804 | Platform: Swiggy Instamart | OrderDateTime: 13:29.5 | Delivery time: 28 | Product Category: Beverages | Order value: 341 | Customer Feedback: Delivery person was rude. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD018025 | Customer ID: CUST5169 | Platform: Swiggy Instamart | OrderDateTime: 04:29.5 | Delivery time: 36 | Product Category: Personal Care | Order value: 352 | Customer Feedback: Horrible experience, never ordering again. | Service Rating: 1 | Delivery Delay: No | Refund Requested: Yes
